"Store","Department","Year","Week","Sales","Type","Size"
1,1,2012,1,16567.69,"A",151315
2,1,2012,1,20481.45,"A",202307
3,1,2012,1,6361.95,"B",37392
4,1,2012,1,28952.16,"A",205863
5,1,2012,1,8092.11,"B",34875
6,1,2012,1,15824.81,"A",202505
7,1,2012,1,10577.58,"B",70713
8,1,2012,1,11001.87,"A",155078
9,1,2012,1,9076.54,"B",125833
10,1,2012,1,28520.49,"B",126512
11,1,2012,1,13731.48,"A",207499
12,1,2012,1,14916.13,"B",112238
13,1,2012,1,25196.62,"A",219622
14,1,2012,1,17444.04,"A",200898
15,1,2012,1,8038.64,"B",123737
16,1,2012,1,10555.77,"B",57197
17,1,2012,1,12401.24,"B",93188
18,1,2012,1,13376.67,"B",120653
19,1,2012,1,11303.8,"A",203819
20,1,2012,1,26398.28,"A",203742
21,1,2012,1,12208.33,"B",140167
22,1,2012,1,10919.6,"B",119557
23,1,2012,1,20432.19,"B",114533
24,1,2012,1,11202.91,"A",203819
25,1,2012,1,10909.77,"B",128107
26,1,2012,1,13906.26,"A",152513
27,1,2012,1,17455.41,"A",204184
28,1,2012,1,17306.53,"A",206302
29,1,2012,1,9480.63,"B",93638
30,1,2012,1,7272.77,"C",42988
31,1,2012,1,12669.65,"A",203750
32,1,2012,1,15772.18,"A",203007
33,1,2012,1,2900.27,"A",39690
34,1,2012,1,16523.75,"A",158114
35,1,2012,1,10553.44,"B",103681
36,1,2012,1,1936.66,"A",39910
37,1,2012,1,9350.04,"C",39910
38,1,2012,1,7214.21,"C",39690
39,1,2012,1,15087.29,"A",184109
40,1,2012,1,15043.88,"A",155083
41,1,2012,1,15604.79,"A",196321
42,1,2012,1,8636.25,"C",39690
43,1,2012,1,5118.97,"C",41062
44,1,2012,1,5347.67,"C",39910
45,1,2012,1,11431.14,"B",118221
1,1,2011,2,15984.24,"A",151315
2,1,2011,2,19092.94,"A",202307
3,1,2011,2,4150.96,"B",37392
4,1,2011,2,25293.64,"A",205863
5,1,2011,2,7335.45,"B",34875
6,1,2011,2,13951.76,"A",202505
7,1,2011,2,7630.66,"B",70713
8,1,2011,2,9166.83,"A",155078
9,1,2011,2,8365.16,"B",125833
10,1,2011,2,26041.71,"B",126512
11,1,2011,2,10427.79,"A",207499
12,1,2011,2,11800.72,"B",112238
13,1,2011,2,24627.06,"A",219622
14,1,2011,2,13527.45,"A",200898
15,1,2011,2,7332.82,"B",123737
16,1,2011,2,9726.43,"B",57197
17,1,2011,2,9599.12,"B",93188
18,1,2011,2,11258.34,"B",120653
19,1,2011,2,9446.29,"A",203819
20,1,2011,2,24790.5,"A",203742
21,1,2011,2,9499.4,"B",140167
22,1,2011,2,11622.46,"B",119557
23,1,2011,2,16715.69,"B",114533
24,1,2011,2,10646.78,"A",203819
25,1,2011,2,10809.41,"B",128107
26,1,2011,2,13225.77,"A",152513
27,1,2011,2,17654.48,"A",204184
28,1,2011,2,14810.44,"A",206302
29,1,2011,2,8968.97,"B",93638
30,1,2011,2,7410.35,"C",42988
31,1,2011,2,11953.28,"A",203750
32,1,2011,2,12679.88,"A",203007
33,1,2011,2,1981.18,"A",39690
34,1,2011,2,14959.94,"A",158114
35,1,2011,2,10260.72,"B",103681
36,1,2011,2,1774.11,"A",39910
37,1,2011,2,8109.26,"C",39910
38,1,2011,2,5262.34,"C",39690
39,1,2011,2,11141.04,"A",184109
40,1,2011,2,12810.68,"A",155083
41,1,2011,2,12467.96,"A",196321
42,1,2011,2,8836,"C",39690
43,1,2011,2,4972.06,"C",41062
44,1,2011,2,4511.01,"C",39910
45,1,2011,2,10641.2,"B",118221
1,1,2012,2,16894.4,"A",151315
2,1,2012,2,21569.9,"A",202307
3,1,2012,2,7544.97,"B",37392
4,1,2012,2,29525.51,"A",205863
5,1,2012,2,9077.81,"B",34875
6,1,2012,2,17559.09,"A",202505
7,1,2012,2,9573.3,"B",70713
8,1,2012,2,12172.49,"A",155078
9,1,2012,2,9902.8,"B",125833
10,1,2012,2,30107.31,"B",126512
11,1,2012,2,15172.4,"A",207499
12,1,2012,2,13906.43,"B",112238
13,1,2012,2,29045.65,"A",219622
14,1,2012,2,17316.92,"A",200898
15,1,2012,2,8076.01,"B",123737
16,1,2012,2,9399.52,"B",57197
17,1,2012,2,16215.57,"B",93188
18,1,2012,2,12942.99,"B",120653
19,1,2012,2,12138.61,"A",203819
20,1,2012,2,25424.25,"A",203742
21,1,2012,2,12470.16,"B",140167
22,1,2012,2,11308.08,"B",119557
23,1,2012,2,19677.98,"B",114533
24,1,2012,2,11002.12,"A",203819
25,1,2012,2,11107.42,"B",128107
26,1,2012,2,12111.8,"A",152513
27,1,2012,2,18259.88,"A",204184
28,1,2012,2,16464.31,"A",206302
29,1,2012,2,9409.93,"B",93638
30,1,2012,2,7957.75,"C",42988
31,1,2012,2,14404.34,"A",203750
32,1,2012,2,17262.33,"A",203007
33,1,2012,2,2813.68,"A",39690
34,1,2012,2,18220.61,"A",158114
35,1,2012,2,10484.29,"B",103681
36,1,2012,2,2537.77,"A",39910
37,1,2012,2,9270.13,"C",39910
38,1,2012,2,7238.7,"C",39690
39,1,2012,2,16511.75,"A",184109
40,1,2012,2,11918.82,"A",155083
41,1,2012,2,16215.17,"A",196321
42,1,2012,2,9949.19,"C",39690
43,1,2012,2,5989.53,"C",41062
44,1,2012,2,5881.25,"C",39910
45,1,2012,2,11048.79,"B",118221
1,1,2011,3,17359.7,"A",151315
2,1,2011,3,22159.74,"A",202307
3,1,2011,3,5938.37,"B",37392
4,1,2011,3,27985.62,"A",205863
5,1,2011,3,8075.77,"B",34875
6,1,2011,3,14867.93,"A",202505
7,1,2011,3,7852.95,"B",70713
8,1,2011,3,12198,"A",155078
9,1,2011,3,9049.76,"B",125833
10,1,2011,3,27859.44,"B",126512
11,1,2011,3,12046.13,"A",207499
12,1,2011,3,11463.13,"B",112238
13,1,2011,3,27800.12,"A",219622
14,1,2011,3,13961.62,"A",200898
15,1,2011,3,8064.3,"B",123737
16,1,2011,3,9542.65,"B",57197
17,1,2011,3,13835.84,"B",93188
18,1,2011,3,10836.71,"B",120653
19,1,2011,3,10709.38,"A",203819
20,1,2011,3,27435.94,"A",203742
21,1,2011,3,11417.16,"B",140167
22,1,2011,3,12043.31,"B",119557
23,1,2011,3,17423.16,"B",114533
24,1,2011,3,11704.56,"A",203819
25,1,2011,3,11928.65,"B",128107
26,1,2011,3,13475.21,"A",152513
27,1,2011,3,18364.66,"A",204184
28,1,2011,3,13274.93,"A",206302
29,1,2011,3,10390.39,"B",93638
30,1,2011,3,8586.88,"C",42988
31,1,2011,3,13504.58,"A",203750
32,1,2011,3,14644.06,"A",203007
33,1,2011,3,1982.43,"A",39690
34,1,2011,3,16283.05,"A",158114
35,1,2011,3,11238.5,"B",103681
36,1,2011,3,2501.15,"A",39910
37,1,2011,3,8827.23,"C",39910
38,1,2011,3,5331.29,"C",39690
39,1,2011,3,12264.96,"A",184109
40,1,2011,3,12046.3,"A",155083
41,1,2011,3,14277.24,"A",196321
42,1,2011,3,9574.86,"C",39690
43,1,2011,3,5169.85,"C",41062
44,1,2011,3,6076.63,"C",39910
45,1,2011,3,11518.43,"B",118221
1,1,2012,3,18365.1,"A",151315
2,1,2012,3,23397.02,"A",202307
3,1,2012,3,7461.43,"B",37392
4,1,2012,3,32267.18,"A",205863
5,1,2012,3,8693.53,"B",34875
6,1,2012,3,18237.69,"A",202505
7,1,2012,3,9179.93,"B",70713
8,1,2012,3,12652.39,"A",155078
9,1,2012,3,9231.2,"B",125833
10,1,2012,3,31180.23,"B",126512
11,1,2012,3,16605.36,"A",207499
12,1,2012,3,14141.96,"B",112238
13,1,2012,3,32105.71,"A",219622
14,1,2012,3,20030.18,"A",200898
15,1,2012,3,8495.57,"B",123737
16,1,2012,3,10008.17,"B",57197
17,1,2012,3,17051.76,"B",93188
18,1,2012,3,14208.98,"B",120653
19,1,2012,3,13838.48,"A",203819
20,1,2012,3,24174.62,"A",203742
21,1,2012,3,13821.16,"B",140167
22,1,2012,3,14692.84,"B",119557
23,1,2012,3,22077.43,"B",114533
24,1,2012,3,11771.25,"A",203819
25,1,2012,3,12285.48,"B",128107
26,1,2012,3,13323.13,"A",152513
27,1,2012,3,21569.79,"A",204184
28,1,2012,3,16511.71,"A",206302
29,1,2012,3,10949.42,"B",93638
30,1,2012,3,8184.23,"C",42988
31,1,2012,3,15384.71,"A",203750
32,1,2012,3,18468.81,"A",203007
33,1,2012,3,2816.56,"A",39690
34,1,2012,3,19867.06,"A",158114
35,1,2012,3,13568.92,"B",103681
36,1,2012,3,2339.78,"A",39910
37,1,2012,3,9957.65,"C",39910
38,1,2012,3,7459.62,"C",39690
39,1,2012,3,18702.19,"A",184109
40,1,2012,3,12814.61,"A",155083
41,1,2012,3,17217.1,"A",196321
42,1,2012,3,9825.61,"C",39690
43,1,2012,3,5497.29,"C",41062
44,1,2012,3,6597.76,"C",39910
45,1,2012,3,13082.52,"B",118221
1,1,2011,4,17341.47,"A",151315
2,1,2011,4,23088.16,"A",202307
3,1,2011,4,5514.44,"B",37392
4,1,2011,4,29835.26,"A",205863
5,1,2011,4,8109.88,"B",34875
6,1,2011,4,16453.49,"A",202505
7,1,2011,4,8163.53,"B",70713
8,1,2011,4,12329.28,"A",155078
9,1,2011,4,10042.29,"B",125833
10,1,2011,4,30911.87,"B",126512
11,1,2011,4,13237.41,"A",207499
12,1,2011,4,12132.72,"B",112238
13,1,2011,4,34012.89,"A",219622
14,1,2011,4,17631.09,"A",200898
15,1,2011,4,8902.48,"B",123737
16,1,2011,4,9903.27,"B",57197
17,1,2011,4,16137.3,"B",93188
18,1,2011,4,13769.74,"B",120653
19,1,2011,4,12959.68,"A",203819
20,1,2011,4,26836.37,"A",203742
21,1,2011,4,11811.42,"B",140167
22,1,2011,4,14222.22,"B",119557
23,1,2011,4,21415.71,"B",114533
24,1,2011,4,12963.73,"A",203819
25,1,2011,4,14052.99,"B",128107
26,1,2011,4,13098.51,"A",152513
27,1,2011,4,19952.89,"A",204184
28,1,2011,4,13793.98,"A",206302
29,1,2011,4,10340.26,"B",93638
30,1,2011,4,9168.21,"C",42988
31,1,2011,4,14310.36,"A",203750
32,1,2011,4,15748.07,"A",203007
33,1,2011,4,2068.7,"A",39690
34,1,2011,4,17477.54,"A",158114
35,1,2011,4,12141.24,"B",103681
36,1,2011,4,2014.89,"A",39910
37,1,2011,4,9564.15,"C",39910
38,1,2011,4,5630.74,"C",39690
39,1,2011,4,14282.12,"A",184109
40,1,2011,4,12549.9,"A",155083
41,1,2011,4,15956.41,"A",196321
42,1,2011,4,9650.22,"C",39690
43,1,2011,4,5741.3,"C",41062
44,1,2011,4,6427.63,"C",39910
45,1,2011,4,12193.51,"B",118221
1,1,2012,4,18378.16,"A",151315
2,1,2012,4,22833.08,"A",202307
3,1,2012,4,8381.18,"B",37392
4,1,2012,4,31549.81,"A",205863
5,1,2012,4,9485.99,"B",34875
6,1,2012,4,19393.16,"A",202505
7,1,2012,4,9625.14,"B",70713
8,1,2012,4,14072.27,"A",155078
9,1,2012,4,10654.88,"B",125833
10,1,2012,4,32559.13,"B",126512
11,1,2012,4,16145.62,"A",207499
12,1,2012,4,14873.68,"B",112238
13,1,2012,4,34503.28,"A",219622
14,1,2012,4,19537.26,"A",200898
15,1,2012,4,9401.18,"B",123737
16,1,2012,4,9727.29,"B",57197
17,1,2012,4,18901.4,"B",93188
18,1,2012,4,13390.57,"B",120653
19,1,2012,4,16279.46,"A",203819
20,1,2012,4,26339.8,"A",203742
21,1,2012,4,13300.3,"B",140167
22,1,2012,4,14342.27,"B",119557
23,1,2012,4,24373.88,"B",114533
24,1,2012,4,12677.35,"A",203819
25,1,2012,4,13600.06,"B",128107
26,1,2012,4,13765.73,"A",152513
27,1,2012,4,19814.81,"A",204184
28,1,2012,4,16607.51,"A",206302
29,1,2012,4,10756.1,"B",93638
30,1,2012,4,7834.01,"C",42988
31,1,2012,4,14948.26,"A",203750
32,1,2012,4,19664.35,"A",203007
33,1,2012,4,2655.25,"A",39690
34,1,2012,4,20136.4,"A",158114
35,1,2012,4,11397.84,"B",103681
36,1,2012,4,2138.36,"A",39910
37,1,2012,4,11020.37,"C",39910
38,1,2012,4,7896.5,"C",39690
39,1,2012,4,19821.73,"A",184109
40,1,2012,4,13801.73,"A",155083
41,1,2012,4,18607.31,"A",196321
42,1,2012,4,9357.2,"C",39690
43,1,2012,4,5776.26,"C",41062
44,1,2012,4,7489.86,"C",39910
45,1,2012,4,12871.85,"B",118221
1,1,2011,5,18461.18,"A",151315
2,1,2011,5,25461.57,"A",202307
3,1,2011,5,5934.7,"B",37392
4,1,2011,5,30977.96,"A",205863
5,1,2011,5,8021.74,"B",34875
6,1,2011,5,17234.16,"A",202505
7,1,2011,5,8492.58,"B",70713
8,1,2011,5,13052.34,"A",155078
9,1,2011,5,10534.25,"B",125833
10,1,2011,5,29890.73,"B",126512
11,1,2011,5,13170.06,"A",207499
12,1,2011,5,13022.67,"B",112238
13,1,2011,5,33986.89,"A",219622
14,1,2011,5,19621.33,"A",200898
15,1,2011,5,9911.66,"B",123737
16,1,2011,5,10787.63,"B",57197
17,1,2011,5,18709.69,"B",93188
18,1,2011,5,14246.63,"B",120653
19,1,2011,5,14204.97,"A",203819
20,1,2011,5,27560.72,"A",203742
21,1,2011,5,12273.94,"B",140167
22,1,2011,5,14621.3,"B",119557
23,1,2011,5,22234.76,"B",114533
24,1,2011,5,14360.31,"A",203819
25,1,2011,5,14426.19,"B",128107
26,1,2011,5,14955.8,"A",152513
27,1,2011,5,20517.85,"A",204184
