"X","Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday.x","Dept","Weekly_Sales","IsHoliday.y","Week","Year","Month","Type","Size"
1,1,"2/5/2010",42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,FALSE,1,24924.5,FALSE,6,2010,2,"A",151315
138,1,"2/12/2010",38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,TRUE,1,46039.49,TRUE,7,2010,2,"A",151315
193,1,"2/19/2010",39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,FALSE,1,41595.55,FALSE,8,2010,2,"A",151315
274,1,"2/26/2010",46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,FALSE,1,19403.54,FALSE,9,2010,2,"A",151315
314,1,"3/5/2010",46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,FALSE,1,21827.9,FALSE,10,2010,3,"A",151315
385,1,"3/12/2010",57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,FALSE,1,21043.39,FALSE,11,2010,3,"A",151315
462,1,"3/19/2010",54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,FALSE,1,22136.64,FALSE,12,2010,3,"A",151315
530,1,"3/26/2010",51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,FALSE,1,26229.21,FALSE,13,2010,3,"A",151315
610,1,"4/2/2010",62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,FALSE,1,57258.43,FALSE,14,2010,4,"A",151315
665,1,"4/9/2010",65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,FALSE,1,42960.91,FALSE,15,2010,4,"A",151315
779,1,"4/16/2010",66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,FALSE,1,17596.96,FALSE,16,2010,4,"A",151315
834,1,"4/23/2010",64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,FALSE,1,16145.35,FALSE,17,2010,4,"A",151315
875,1,"4/30/2010",67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,FALSE,1,16555.11,FALSE,18,2010,4,"A",151315
943,1,"5/7/2010",72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,FALSE,1,17413.94,FALSE,19,2010,5,"A",151315
1030,1,"5/14/2010",74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,FALSE,1,18926.74,FALSE,20,2010,5,"A",151315
1093,1,"5/21/2010",76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,FALSE,1,14773.04,FALSE,21,2010,5,"A",151315
1173,1,"5/28/2010",80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,FALSE,1,15580.43,FALSE,22,2010,5,"A",151315
1233,1,"6/4/2010",80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,FALSE,1,17558.09,FALSE,23,2010,6,"A",151315
1316,1,"6/11/2010",80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,FALSE,1,16637.62,FALSE,24,2010,6,"A",151315
1396,1,"6/18/2010",84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,FALSE,1,16216.27,FALSE,25,2010,6,"A",151315
1462,1,"6/25/2010",84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,FALSE,1,16328.72,FALSE,26,2010,6,"A",151315
1557,1,"7/2/2010",80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,FALSE,1,16333.14,FALSE,27,2010,7,"A",151315
1625,1,"7/9/2010",80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,FALSE,1,17688.76,FALSE,28,2010,7,"A",151315
1707,1,"7/16/2010",83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,FALSE,1,17150.84,FALSE,29,2010,7,"A",151315
1785,1,"7/23/2010",83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,FALSE,1,15360.45,FALSE,30,2010,7,"A",151315
1863,1,"7/30/2010",81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,FALSE,1,15381.82,FALSE,31,2010,7,"A",151315
1930,1,"8/6/2010",87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,FALSE,1,17508.41,FALSE,32,2010,8,"A",151315
1994,1,"8/13/2010",87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,FALSE,1,15536.4,FALSE,33,2010,8,"A",151315
2055,1,"8/20/2010",86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,FALSE,1,15740.13,FALSE,34,2010,8,"A",151315
2142,1,"8/27/2010",85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,FALSE,1,15793.87,FALSE,35,2010,8,"A",151315
2169,1,"9/3/2010",81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,FALSE,1,16241.78,FALSE,36,2010,9,"A",151315
2265,1,"9/10/2010",78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,TRUE,1,18194.74,TRUE,37,2010,9,"A",151315
2306,1,"9/17/2010",82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,FALSE,1,19354.23,FALSE,38,2010,9,"A",151315
2379,1,"9/24/2010",80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,FALSE,1,18122.52,FALSE,39,2010,9,"A",151315
2439,1,"10/1/2010",71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,FALSE,1,20094.19,FALSE,40,2010,10,"A",151315
2508,1,"10/8/2010",63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,FALSE,1,23388.03,FALSE,41,2010,10,"A",151315
2601,1,"10/15/2010",67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,FALSE,1,26978.34,FALSE,42,2010,10,"A",151315
2673,1,"10/22/2010",69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,FALSE,1,25543.04,FALSE,43,2010,10,"A",151315
